name,fx,fy,lines
Rayners Lane,0.210000,0.259871,metropolitan;piccadilly
Eastcote,0.203000,0.244850,metropolitan;piccadilly
Ruislip Manor,0.195000,0.232833,metropolitan;piccadilly
Ruislip,0.180000,0.226824,metropolitan;piccadilly
Ickenham,0.160000,0.229828,metropolitan;piccadilly
Hillingdon,0.149000,0.229828,metropolitan;piccadilly
Uxbridge,0.133000,0.229828,metropolitan;piccadilly
Amersham,0.118000,0.151717,metropolitan
Chesham,0.132000,0.139700,metropolitan
Chalfont and Latimer,0.158000,0.150215,metropolitan;national rail
Chorelywood,0.182000,0.163734,metropolitan;national rail
Rickmansworth,0.190000,0.180258,metropolitan;national rail
Watford,0.200000,0.154721,metropolitan
Croxley,0.201000,0.171245,metropolitan
Moor Park,0.204000,0.195279,metropolitan
Northwood,0.213000,0.204292,metropolitan
Northwood Hills,0.220000,0.216309,metropolitan
Pinner,0.228000,0.231330,metropolitan
North Harrow,0.236000,0.241845,metropolitan
West Harrow,0.236000,0.265880,metropolitan
Harrow-On-The-Hill,0.256000,0.261373,metropolitan;national rail
Northwick Park,0.277000,0.262876,metropolitan
Preston Road,0.303000,0.259871,metropolitan
West Ruislip,0.171000,0.208798,central
South Ruislip,0.170000,0.295923,central;national rail
Northolt,0.169000,0.324464,central
Greenford,0.180000,0.368026,central;national rail
Parivale,0.196000,0.393562,central
Hanger Lane,0.211000,0.416094,central
West Acton,0.233000,0.476180,central
North Acton,0.262000,0.477682,central
East Acton,0.275000,0.471674,central
White City,0.290000,0.473176,central
Shepherds Bush,0.315000,0.474678,central;national rail;overground
Holland Park,0.327000,0.476180,central
Queensway,0.358000,0.474678,central
Lancaster Gate,0.373000,0.473176,central
Marble Arch,0.378000,0.458155,central
Chancery Lane,0.473000,0.453648,central
St Pauls,0.502000,0.474678,central
Bethnal Green,0.597000,0.405579,central
Leyton,0.679000,0.318455,central
Leytonstone,0.678000,0.286910,central
Snaresbrook,0.679000,0.244850,central
South Woodford,0.678000,0.232833,central
Woodford,0.678000,0.219313,central
Buckhurst Hill,0.682000,0.172747,central
Loughton,0.688000,0.160730,central
Debden,0.696000,0.148712,central
Theydon Bois,0.704000,0.138197,central
Epping,0.714000,0.124678,central
Wanstead,0.688000,0.270386,central
Redbridge,0.698000,0.267382,central
Gants Hill,0.709000,0.270386,central
Newbury Park,0.713000,0.256867,central
Barkingside,0.714000,0.241845,central
Fairlop,0.713000,0.229828,central
Hainault,0.713000,0.217811,central
Grange Hill,0.709000,0.199785,central
Chingwell,0.699000,0.204292,central
Roding Valley,0.688000,0.201288,central
Reading,0.129000,0.334979,elizabeth line;national rail
Twyford,0.129000,0.348498,elizabeth line;national rail
Maidenhead,0.130000,0.362017,elizabeth line;national rail
Taplow,0.128000,0.375536,elizabeth line;national rail
Burnham,0.129000,0.387554,elizabeth line;national rail
Slough,0.130000,0.401073,elizabeth line;national rail
Langley,0.129000,0.414592,elizabeth line;national rail
Iver,0.130000,0.425107,elizabeth line;national rail
